ST,Drug,NumRes,NumSusc,Pathogen
131,Fluoroquinolones,46,5,E.coli
95,Fluoroquinolones,1,39,E.coli
73C,Fluoroquinolones,0,20,E.coli
69,Fluoroquinolones,2,17,E.coli
12C,Fluoroquinolones,0,13,E.coli
10C,Fluoroquinolones,1,8,E.coli
1576,Fluoroquinolones,2,0,E.coli
224,Fluoroquinolones,1,0,E.coli
624,Fluoroquinolones,1,0,E.coli
405C,Fluoroquinolones,1,3,E.coli
998,Fluoroquinolones,0,1,E.coli
964,Fluoroquinolones,1,0,E.coli
38C,Fluoroquinolones,1,3,E.coli
OC39,Fluoroquinolones,6,33,E.coli
U1,Fluoroquinolones,0,1,E.coli
U2,Fluoroquinolones,0,1,E.coli
U3,Fluoroquinolones,0,1,E.coli
U4,Fluoroquinolones,0,1,E.coli
U5,Fluoroquinolones,0,1,E.coli
U6,Fluoroquinolones,0,1,E.coli
U7,Fluoroquinolones,0,1,E.coli
U8,Fluoroquinolones,0,1,E.coli
U9,Fluoroquinolones,0,1,E.coli
U10,Fluoroquinolones,0,1,E.coli
U11,Fluoroquinolones,0,1,E.coli
U12,Fluoroquinolones,0,1,E.coli
U13,Fluoroquinolones,0,1,E.coli
U14,Fluoroquinolones,0,1,E.coli
U15,Fluoroquinolones,0,1,E.coli
131,Trimethoprim-Sulfamethoxazole,36,15,E.coli
95,Trimethoprim-Sulfamethoxazole,7,33,E.coli
73C,Trimethoprim-Sulfamethoxazole,7,13,E.coli
69,Trimethoprim-Sulfamethoxazole,12,7,E.coli
12C,Trimethoprim-Sulfamethoxazole,9,4,E.coli
10C,Trimethoprim-Sulfamethoxazole,6,3,E.coli
1576,Trimethoprim-Sulfamethoxazole,0,2,E.coli
224,Trimethoprim-Sulfamethoxazole,1,0,E.coli
624,Trimethoprim-Sulfamethoxazole,1,0,E.coli
405C,Trimethoprim-Sulfamethoxazole,3,1,E.coli
998,Trimethoprim-Sulfamethoxazole,0,1,E.coli
964,Trimethoprim-Sulfamethoxazole,1,0,E.coli
38C,Trimethoprim-Sulfamethoxazole,4,0,E.coli
OC39,Trimethoprim-Sulfamethoxazole,10,29,E.coli
U1,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U2,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U3,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U4,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U5,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U6,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U7,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U8,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U9,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U10,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U11,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U12,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U13,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U14,Trimethoprim-Sulfamethoxazole,0,1,E.coli
U15,Trimethoprim-Sulfamethoxazole,0,1,E.coli
131,Cephalosporins-BS,17,34,E.coli
95,Cephalosporins-BS,1,39,E.coli
73C,Cephalosporins-BS,1,19,E.coli
69,Cephalosporins-BS,0,19,E.coli
12C,Cephalosporins-BS,3,10,E.coli
10C,Cephalosporins-BS,1,8,E.coli
1576,Cephalosporins-BS,2,0,E.coli
224,Cephalosporins-BS,1,0,E.coli
624,Cephalosporins-BS,1,0,E.coli
405C,Cephalosporins-BS,0,4,E.coli
998,Cephalosporins-BS,1,0,E.coli
964,Cephalosporins-BS,0,1,E.coli
38C,Cephalosporins-BS,0,4,E.coli
OC39,Cephalosporins-BS,1,38,E.coli
U1,Cephalosporins-BS,0,1,E.coli
U2,Cephalosporins-BS,0,1,E.coli
U3,Cephalosporins-BS,0,1,E.coli
U4,Cephalosporins-BS,0,1,E.coli
U5,Cephalosporins-BS,0,1,E.coli
U6,Cephalosporins-BS,0,1,E.coli
U7,Cephalosporins-BS,0,1,E.coli
U8,Cephalosporins-BS,0,1,E.coli
U9,Cephalosporins-BS,0,1,E.coli
U10,Cephalosporins-BS,0,1,E.coli
U11,Cephalosporins-BS,0,1,E.coli
U12,Cephalosporins-BS,0,1,E.coli
U13,Cephalosporins-BS,0,1,E.coli
U14,Cephalosporins-BS,0,1,E.coli
U15,Cephalosporins-BS,0,1,E.coli
131,Cefepime,15,36,E.coli
95,Cefepime,1,39,E.coli
73C,Cefepime,0,20,E.coli
69,Cefepime,0,19,E.coli
12C,Cefepime,3,10,E.coli
10C,Cefepime,1,8,E.coli
1576,Cefepime,1,1,E.coli
224,Cefepime,0,1,E.coli
624,Cefepime,1,0,E.coli
405C,Cefepime,0,4,E.coli
998,Cefepime,1,0,E.coli
964,Cefepime,0,1,E.coli
38C,Cefepime,0,4,E.coli
OC39,Cefepime,1,38,E.coli
U1,Cefepime,0,1,E.coli
U2,Cefepime,0,1,E.coli
U3,Cefepime,0,1,E.coli
U4,Cefepime,0,1,E.coli
U5,Cefepime,0,1,E.coli
U6,Cefepime,0,1,E.coli
U7,Cefepime,0,1,E.coli
U8,Cefepime,0,1,E.coli
U9,Cefepime,0,1,E.coli
U10,Cefepime,0,1,E.coli
U11,Cefepime,0,1,E.coli
U12,Cefepime,0,1,E.coli
U13,Cefepime,0,1,E.coli
U14,Cefepime,0,1,E.coli
U15,Cefepime,0,1,E.coli
131,Aztreonam,16,35,E.coli
95,Aztreonam,2,38,E.coli
73C,Aztreonam,1,19,E.coli
69,Aztreonam,0,19,E.coli
12C,Aztreonam,3,10,E.coli
10C,Aztreonam,1,8,E.coli
1576,Aztreonam,2,0,E.coli
224,Aztreonam,1,0,E.coli
624,Aztreonam,1,0,E.coli
405C,Aztreonam,0,4,E.coli
998,Aztreonam,1,0,E.coli
964,Aztreonam,0,1,E.coli
38C,Aztreonam,0,4,E.coli
OC39,Aztreonam,1,38,E.coli
U1,Aztreonam,0,1,E.coli
U2,Aztreonam,0,1,E.coli
U3,Aztreonam,0,1,E.coli
U4,Aztreonam,0,1,E.coli
U5,Aztreonam,0,1,E.coli
U6,Aztreonam,0,1,E.coli
U7,Aztreonam,0,1,E.coli
U8,Aztreonam,0,1,E.coli
U9,Aztreonam,0,1,E.coli
U10,Aztreonam,0,1,E.coli
U11,Aztreonam,0,1,E.coli
U12,Aztreonam,0,1,E.coli
U13,Aztreonam,0,1,E.coli
U14,Aztreonam,0,1,E.coli
U15,Aztreonam,0,1,E.coli
131,Carbapenem,0,51,E.coli
95,Carbapenem,0,40,E.coli
73C,Carbapenem,0,20,E.coli
69,Carbapenem,0,19,E.coli
12C,Carbapenem,0,13,E.coli
10C,Carbapenem,0,9,E.coli
1576,Carbapenem,0,2,E.coli
224,Carbapenem,0,1,E.coli
624,Carbapenem,0,1,E.coli
405C,Carbapenem,0,4,E.coli
998,Carbapenem,0,1,E.coli
964,Carbapenem,0,1,E.coli
38C,Carbapenem,0,4,E.coli
OC39,Carbapenem,0,39,E.coli
U1,Carbapenem,0,1,E.coli
U2,Carbapenem,0,1,E.coli
U3,Carbapenem,0,1,E.coli
U4,Carbapenem,0,1,E.coli
U5,Carbapenem,0,1,E.coli
U6,Carbapenem,0,1,E.coli
U7,Carbapenem,0,1,E.coli
