,ST,Drug,NumRes,NumSusc,Pathogen
1,10,Ampicillin,1,0,E. faecium
2,10,Gentamicin,0,1,E. faecium
3,10,Streptomycin,1,0,E. faecium
4,10,Vancomycin,0,1,E. faecium
5,112,Ampicillin,0,1,E. faecium
6,112,Gentamicin,1,0,E. faecium
7,112,Streptomycin,1,0,E. faecium
8,112,Vancomycin,0,1,E. faecium
9,16,Ampicillin,7,1,E. faecium
10,16,Gentamicin,6,2,E. faecium
11,16,Streptomycin,8,0,E. faecium
12,16,Vancomycin,5,3,E. faecium
13,17,Ampicillin,17,0,E. faecium
14,17,Gentamicin,6,11,E. faecium
15,17,Streptomycin,13,4,E. faecium
16,17,Vancomycin,0,17,E. faecium
17,18,Ampicillin,6,0,E. faecium
18,18,Gentamicin,2,4,E. faecium
19,18,Streptomycin,4,2,E. faecium
20,18,Vancomycin,2,4,E. faecium
21,19,Ampicillin,0,1,E. faecium
22,19,Gentamicin,0,1,E. faecium
23,19,Streptomycin,1,0,E. faecium
24,19,Vancomycin,0,1,E. faecium
25,20,Ampicillin,2,0,E. faecium
26,20,Gentamicin,1,1,E. faecium
27,20,Streptomycin,1,1,E. faecium
28,20,Vancomycin,2,0,E. faecium
29,25,Ampicillin,0,3,E. faecium
30,25,Gentamicin,0,3,E. faecium
31,25,Streptomycin,3,0,E. faecium
32,25,Vancomycin,0,3,E. faecium
33,280,Ampicillin,1,0,E. faecium
34,280,Gentamicin,0,1,E. faecium
35,280,Streptomycin,1,0,E. faecium
36,280,Vancomycin,0,1,E. faecium
37,296,Ampicillin,0,2,E. faecium
38,296,Gentamicin,0,2,E. faecium
39,296,Streptomycin,1,1,E. faecium
40,296,Vancomycin,0,2,E. faecium
41,473,Ampicillin,1,0,E. faecium
42,473,Gentamicin,0,1,E. faecium
43,473,Streptomycin,0,1,E. faecium
44,473,Vancomycin,0,1,E. faecium
45,474,Ampicillin,0,1,E. faecium
46,474,Gentamicin,0,1,E. faecium
47,474,Streptomycin,0,1,E. faecium
48,474,Vancomycin,0,1,E. faecium
49,475,Ampicillin,0,1,E. faecium
50,475,Gentamicin,0,1,E. faecium
51,475,Streptomycin,0,1,E. faecium
52,475,Vancomycin,0,1,E. faecium
53,476,Ampicillin,3,0,E. faecium
54,476,Gentamicin,0,3,E. faecium
55,476,Streptomycin,3,0,E. faecium
56,476,Vancomycin,0,3,E. faecium
57,71,Ampicillin,0,1,E. faecium
58,71,Gentamicin,0,1,E. faecium
59,71,Streptomycin,1,0,E. faecium
60,71,Vancomycin,0,1,E. faecium
61,92,Ampicillin,3,0,E. faecium
62,92,Gentamicin,0,3,E. faecium
63,92,Streptomycin,1,2,E. faecium
64,92,Vancomycin,0,3,E. faecium
65,ND ,Ampicillin,0,1,E. faecium
66,ND ,Gentamicin,0,1,E. faecium
67,ND ,Streptomycin,0,1,E. faecium
68,ND ,Vancomycin,0,1,E. faecium
