"","ST","Drug","NumRes","NumSusc","Pathogen"
"1",10,"Amoxicillin",18,13,"E. coli"
"2",10,"AmoxiClav",6,25,"E. coli"
"3",10,"Cefotaxime",1,25,"E. coli"
"4",10,"Ceftazidime",1,30,"E. coli"
"5",10,"Cefuroxime",5,26,"E. coli"
"6",10,"Ciprofloxacin",3,28,"E. coli"
"7",10,"Gentamicin",1,29,"E. coli"
"8",10,"Imipenem",0,31,"E. coli"
"9",10,"PipTaz",0,30,"E. coli"
"10",10,"Tigecycline",0,26,"E. coli"
"11",1001,"Amoxicillin",0,1,"E. coli"
"12",1001,"AmoxiClav",0,1,"E. coli"
"13",1001,"Cefotaxime",0,1,"E. coli"
"14",1001,"Ceftazidime",0,1,"E. coli"
"15",1001,"Cefuroxime",0,1,"E. coli"
"16",1001,"Ciprofloxacin",0,1,"E. coli"
"17",1001,"Gentamicin",0,1,"E. coli"
"18",1001,"Imipenem",0,1,"E. coli"
"19",1001,"PipTaz",0,1,"E. coli"
"20",1001,"Tigecycline",0,1,"E. coli"
"21",101,"Amoxicillin",1,0,"E. coli"
"22",101,"AmoxiClav",0,1,"E. coli"
"23",101,"Cefotaxime",0,1,"E. coli"
"24",101,"Ceftazidime",0,1,"E. coli"
"25",101,"Cefuroxime",0,1,"E. coli"
"26",101,"Ciprofloxacin",0,1,"E. coli"
"27",101,"Gentamicin",1,0,"E. coli"
"28",101,"Imipenem",0,1,"E. coli"
"29",101,"PipTaz",0,1,"E. coli"
"30",101,"Tigecycline",0,1,"E. coli"
"31",104,"Amoxicillin",1,2,"E. coli"
"32",104,"AmoxiClav",1,2,"E. coli"
"33",104,"Cefotaxime",0,2,"E. coli"
"34",104,"Ceftazidime",0,3,"E. coli"
"35",104,"Cefuroxime",2,1,"E. coli"
"36",104,"Ciprofloxacin",0,3,"E. coli"
"37",104,"Gentamicin",0,3,"E. coli"
"38",104,"Imipenem",0,3,"E. coli"
"39",104,"PipTaz",0,2,"E. coli"
"40",104,"Tigecycline",0,3,"E. coli"
"41",1057,"Amoxicillin",0,1,"E. coli"
"42",1057,"AmoxiClav",0,1,"E. coli"
"43",1057,"Cefotaxime",0,1,"E. coli"
"44",1057,"Ceftazidime",0,1,"E. coli"
"45",1057,"Cefuroxime",0,1,"E. coli"
"46",1057,"Ciprofloxacin",0,1,"E. coli"
"47",1057,"Gentamicin",0,1,"E. coli"
"48",1057,"Imipenem",0,1,"E. coli"
"49",1057,"PipTaz",0,1,"E. coli"
"50",1057,"Tigecycline",0,1,"E. coli"
"51",106,"Amoxicillin",4,1,"E. coli"
"52",106,"AmoxiClav",1,4,"E. coli"
"53",106,"Cefotaxime",0,5,"E. coli"
"54",106,"Ceftazidime",0,5,"E. coli"
