"","ST","Drug","NumRes","NumSusc","Pathogen"
"1","10","Amikacin",0,9,"E. coli"
"2","10","AmoxiClav",5,4,"E. coli"
"3","10","Ampicillin",7,2,"E. coli"
"4","10","Aztreonam",0,9,"E. coli"
"5","10","Cefalotin",0,4,"E. coli"
"6","10","Cefepime",0,9,"E. coli"
"7","10","Cefotaxime",0,9,"E. coli"
"8","10","Cefoxitin",0,8,"E. coli"
"9","10","Ceftazidime",0,9,"E. coli"
"10","10","Cefuroxime",0,9,"E. coli"
"11","10","CefuroximeAxetil",0,9,"E. coli"
"12","10","Ciprofloxacin",2,7,"E. coli"
"13","10","Ertapenem",0,9,"E. coli"
"14","10","Gentamicin",0,9,"E. coli"
"15","10","Meropenem",0,9,"E. coli"
"16","10","PipTaz",1,8,"E. coli"
"17","10","Tigecycline",0,9,"E. coli"
"18","10","Tobramycin",0,9,"E. coli"
"19","10","Trimethoprim",6,3,"E. coli"
"20","101","Amikacin",0,1,"E. coli"
"21","101","AmoxiClav",0,1,"E. coli"
"22","101","Ampicillin",0,1,"E. coli"
"23","101","Aztreonam",0,1,"E. coli"
"24","101","Cefalotin",0,1,"E. coli"
"25","101","Cefepime",0,1,"E. coli"
"26","101","Cefotaxime",0,1,"E. coli"
"27","101","Cefoxitin",0,1,"E. coli"
"28","101","Ceftazidime",0,1,"E. coli"
"29","101","Cefuroxime",0,1,"E. coli"
"30","101","CefuroximeAxetil",0,1,"E. coli"
"31","101","Ciprofloxacin",0,1,"E. coli"
"32","101","Ertapenem",0,1,"E. coli"
"33","101","Gentamicin",0,1,"E. coli"
"34","101","Meropenem",0,1,"E. coli"
"35","101","PipTaz",0,1,"E. coli"
"36","101","Tigecycline",0,1,"E. coli"
"37","101","Tobramycin",0,1,"E. coli"
"38","101","Trimethoprim",0,1,"E. coli"
"39","104","Amikacin",0,1,"E. coli"
"40","104","AmoxiClav",1,0,"E. coli"
"41","104","Ampicillin",1,0,"E. coli"
"42","104","Aztreonam",0,1,"E. coli"
"43","104","Cefalotin",0,0,"E. coli"
"44","104","Cefepime",0,1,"E. coli"
"45","104","Cefotaxime",0,1,"E. coli"
"46","104","Cefoxitin",0,1,"E. coli"
"47","104","Ceftazidime",0,1,"E. coli"
"48","104","Cefuroxime",0,1,"E. coli"
"49","104","CefuroximeAxetil",0,1,"E. coli"
"50","104","Ciprofloxacin",0,1,"E. coli"
"51","104","Ertapenem",0,1,"E. coli"
"52","104","Gentamicin",0,1,"E. coli"
"53","104","Meropenem",0,1,"E. coli"
"54","104","PipTaz",0,1,"E. coli"
"55","104","Tigecycline",0,1,"E. coli"
"56","104","Tobramycin",0,1,"E. coli"
